Year,Age,ASFR
1953,-12,0
1953,13,0
1953,14,0.00004
1953,15,0.00015
1953,16,0.00078
1953,17,0.00312
1953,18,0.00969
1953,19,0.02412
1953,20,0.05059
1953,21,0.08642
1953,22,0.12698
1953,23,0.16749
1953,24,0.19284
1953,25,0.20594
1953,26,0.20363
1953,27,0.20116
1953,28,0.18981
1953,29,0.17961
1953,30,0.16519
1953,31,0.1488
1953,32,0.13567
1953,33,0.11594
1953,34,0.10258
1953,35,0.09015
1953,36,0.07744
1953,37,0.06527
1953,38,0.05417
1953,39,0.04356
1953,40,0.03348
1953,41,0.025
1953,42,0.01673
1953,43,0.01034
1953,44,0.00561
1953,45,0.00267
1953,46,0.00124
1953,47,0.00064
1953,48,0.00035
1953,49,0.0002
1953,50,0.00017
1953,51,0.0001
1953,52,0.00006
1953,53,0.00006
1953,54,0.00004
1953,55+,0.0001
1954,-12,0
1954,13,0
1954,14,0.00002
1954,15,0.00013
1954,16,0.00067
1954,17,0.00267
1954,18,0.00811
1954,19,0.02082
1954,20,0.04488
1954,21,0.07988
1954,22,0.11922
1954,23,0.15938
1954,24,0.18561
1954,25,0.198
1954,26,0.19845
1954,27,0.18914
1954,28,0.17834
1954,29,0.16516
1954,30,0.15247
1954,31,0.13665
1954,32,0.12149
1954,33,0.10828
1954,34,0.09096
1954,35,0.07876
1954,36,0.06759
1954,37,0.05629
1954,38,0.04638
1954,39,0.03718
1954,40,0.02831
1954,41,0.0202
1954,42,0.01352
1954,43,0.00832
1954,44,0.00452
1954,45,0.00221
1954,46,0.00104
1954,47,0.00058
1954,48,0.00023
1954,49,0.00016
1954,50,0.0001
1954,51,0.00007
1954,52,0.00003
1954,53,0.00005
1954,54,0.00003
1954,55+,0.00007
1955,-12,0
1955,13,0
1955,14,0.00001
1955,15,0.00007
1955,16,0.00056
1955,17,0.00248
1955,18,0.00745
1955,19,0.01843
1955,20,0.04154
1955,21,0.07373
1955,22,0.11519
1955,23,0.15786
1955,24,0.18304
1955,25,0.19604
1955,26,0.19896
1955,27,0.18977
1955,28,0.17429
1955,29,0.15992
1955,30,0.14353
1955,31,0.12769
1955,32,0.1135
1955,33,0.09827
1955,34,0.08491
1955,35,0.07011
1955,36,0.05947
1955,37,0.04962
1955,38,0.03999
1955,39,0.03132
1955,40,0.02412
1955,41,0.01716
1955,42,0.01153
1955,43,0.00689
